BARCODE COUNT PARAMETER SWEEP - SUMMARY REPORT
================================================================================

Generated: 2026-01-14 12:31:07.495218

Total results analyzed: 95
Tools: RandomBarcodes, QUIK, Columba
Barcode counts: 21K, 42K, 85K
Barcode lengths: 28nt, 36nt

              tool  barcode_count  barcode_length  optimal_threshold  precision   recall   f1_score
0   RandomBarcodes          21000              28                8.0  95.130604  76.8270  85.004661
1   RandomBarcodes          21000              36                9.0  99.949726  64.6135  78.487786
2   RandomBarcodes          42000              28                8.0  91.856100  75.7395  83.022885
3   RandomBarcodes          42000              36                9.0  99.924100  64.4775  78.379482
4   RandomBarcodes          85000              28                8.0  87.303000  74.3010  80.278956
5   RandomBarcodes          85000              36                9.0  99.876300  64.2035  78.162065
6             QUIK          21000              28                8.0  95.747400  74.3325  83.691766
7             QUIK          21000              36                9.0  99.633700  95.8775  97.719518
8             QUIK          42000              28                8.0  92.991200  70.7105  80.334587
9             QUIK          42000              36                9.0  99.312000  95.1300  97.176027
10            QUIK          85000              28                8.0  88.557400  66.9715  76.266493
11            QUIK          85000              36                9.0  98.757300  94.1695  96.408851
12         Columba          21000              28               78.0  94.157600  55.8425  70.106564
13         Columba          21000              36               77.0  97.912800  56.8565  71.939062
14         Columba          42000              28               78.0  89.189400  54.4595  67.626137
15         Columba          42000              36               77.0  95.833700  55.8950  70.607929
16         Columba          85000              28               77.0  80.472400  51.9385  63.130992
17         Columba          85000              36               77.0  92.130200  54.1265  68.190863
