tool,sample_id,identity_threshold,nthresh,ntriage,rejection_threshold,strategy,total_reads,correct,incorrect,unassigned,assignment_rate,precision,recall,accuracy,f1_score,barcode_count,barcode_length,threshold,tool_key,assigned,total_processed
RandomBarcodes,RB_t100_n5,,5.0,100.0,,,200000.0,72138.0,8.0,127854.0,36.073,99.98891137415796,36.069,36.069,53.01419091223094,21000,28,5.0,randombarcodes,,
RandomBarcodes,RB_t100_n6,,6.0,100.0,,,200000.0,105760.0,153.0,94087.0,52.9565,99.8555418126198,52.88,52.88,69.14384154972164,21000,28,6.0,randombarcodes,,
RandomBarcodes,RB_t100_n7,,7.0,100.0,,,200000.0,129222.0,1384.0,69394.0,65.303,98.94032433425724,64.61099999999999,64.61099999999999,78.17280993085426,21000,28,7.0,randombarcodes,,
RandomBarcodes,RB_t100_n8,,8.0,100.0,,,200000.0,153654.0,7865.0,38481.0,80.75949999999999,95.13060382988998,76.827,76.827,85.00466088919254,21000,28,8.0,randombarcodes,,
RandomBarcodes,RB_t100_n9,,9.0,100.0,,,200000.0,164044.0,23894.0,12062.0,93.969,87.28623269376071,82.02199999999999,82.02199999999999,84.57227701333717,21000,28,9.0,randombarcodes,,
RandomBarcodes,RB_t100_n6,,6.0,100.0,,,200000.0,58837.0,1.0,141162.0,29.419,99.99830041809716,29.4185,29.4185,45.4624127832853,21000,36,6.0,randombarcodes,,
RandomBarcodes,RB_t100_n7,,7.0,100.0,,,200000.0,79899.0,2.0,120099.0,39.9505,99.99749690241674,39.9495,39.9495,57.09089999678458,21000,36,7.0,randombarcodes,,
RandomBarcodes,RB_t100_n8,,8.0,100.0,,,200000.0,107642.0,8.0,92350.0,53.825,99.99256850905714,53.821,53.821,69.97692182675118,21000,36,8.0,randombarcodes,,
RandomBarcodes,RB_t100_n9,,9.0,100.0,,,200000.0,129227.0,65.0,70708.0,64.646,99.94972620115708,64.6135,64.6135,78.48778591645106,21000,36,9.0,randombarcodes,,
RandomBarcodes,RB_42K_28nt_t100_n5,,,,,,200000.0,71858.0,17.0,128125.0,35.9375,99.9763,35.929,35.929,52.86105078609884,42000,28,5.0,randombarcodes,71875.0,
RandomBarcodes,RB_42K_28nt_t100_n6,,,,,,200000.0,105692.0,284.0,94024.0,52.988,99.732,52.846,52.846,69.08515345593727,42000,28,6.0,randombarcodes,105976.0,
RandomBarcodes,RB_42K_28nt_t100_n7,,,,,,200000.0,128632.0,2591.0,68777.0,65.6115,98.0255,64.316,64.316,77.67093513365344,42000,28,7.0,randombarcodes,131223.0,
RandomBarcodes,RB_42K_28nt_t100_n8,,,,,,200000.0,151479.0,13430.0,35091.0,82.4545,91.8561,75.7395,75.7395,83.0228846813401,42000,28,8.0,randombarcodes,164909.0,
RandomBarcodes,RB_42K_28nt_t100_n9,,,,,,200000.0,159375.0,32724.0,7901.0,96.0495,82.965,79.6875,79.6875,81.29322866233227,42000,28,9.0,randombarcodes,192099.0,
RandomBarcodes,RB_42K_36nt_t100_n5,,,,,,200000.0,34754.0,0.0,165246.0,17.377,100.0,17.377,17.377,29.608867154553277,42000,36,5.0,randombarcodes,34754.0,
RandomBarcodes,RB_42K_36nt_t100_n6,,,,,,200000.0,58935.0,0.0,141065.0,29.4675,100.0,29.4675,29.4675,45.52107671809527,42000,36,6.0,randombarcodes,58935.0,
RandomBarcodes,RB_42K_36nt_t100_n7,,,,,,200000.0,79626.0,0.0,120374.0,39.813,100.0,39.813,39.813,56.95178559933626,42000,36,7.0,randombarcodes,79626.0,
RandomBarcodes,RB_42K_36nt_t100_n8,,,,,,200000.0,107536.0,11.0,92453.0,53.7735,99.9898,53.768,53.768,69.93143198458876,42000,36,8.0,randombarcodes,107547.0,
RandomBarcodes,RB_42K_36nt_t100_n9,,,,,,200000.0,128955.0,98.0,70947.0,64.5265,99.9241,64.4775,64.4775,78.37948241075513,42000,36,9.0,randombarcodes,129053.0,
RandomBarcodes,RB_85K_28nt_t100_n5,,,,,,200000.0,71698.0,56.0,128246.0,35.877,99.922,35.849,35.849,52.766846793497876,85000,28,5.0,randombarcodes,71754.0,
RandomBarcodes,RB_85K_28nt_t100_n6,,,,,,200000.0,105315.0,598.0,94087.0,52.9565,99.4354,52.6575,52.6575,68.85291260144294,85000,28,6.0,randombarcodes,105913.0,
RandomBarcodes,RB_85K_28nt_t100_n7,,,,,,200000.0,127900.0,4799.0,67301.0,66.3495,96.3835,63.95,63.95,76.88630043004113,85000,28,7.0,randombarcodes,132699.0,
RandomBarcodes,RB_85K_28nt_t100_n8,,,,,,200000.0,148602.0,21612.0,29786.0,85.107,87.303,74.301,74.301,80.27895600356428,85000,28,8.0,randombarcodes,170214.0,
RandomBarcodes,RB_85K_28nt_t100_n9,,,,,,200000.0,154109.0,41681.0,4210.0,97.895,78.7114,77.0545,77.0545,77.87413768096869,85000,28,9.0,randombarcodes,195790.0,
RandomBarcodes,RB_85K_36nt_t100_n5,,,,,,200000.0,34295.0,0.0,165705.0,17.1475,100.0,17.1475,17.1475,29.27505922021383,85000,36,5.0,randombarcodes,34295.0,
RandomBarcodes,RB_85K_36nt_t100_n6,,,,,,200000.0,58251.0,0.0,141749.0,29.1255,100.0,29.1255,29.1255,45.11192599447824,85000,36,6.0,randombarcodes,58251.0,
RandomBarcodes,RB_85K_36nt_t100_n7,,,,,,200000.0,78998.0,2.0,121000.0,39.5,99.9975,39.499,39.499,56.62939575544907,85000,36,7.0,randombarcodes,79000.0,
RandomBarcodes,RB_85K_36nt_t100_n8,,,,,,200000.0,107057.0,12.0,92931.0,53.5345,99.9888,53.5285,53.5285,69.72830398658652,85000,36,8.0,randombarcodes,107069.0,
RandomBarcodes,RB_85K_36nt_t100_n9,,,,,,200000.0,128407.0,159.0,71434.0,64.283,99.8763,64.2035,64.2035,78.16206537367793,85000,36,9.0,randombarcodes,128566.0,
QUIK,QUIK_21K_28nt_4mer_r5,,,,,,200000.0,85966.0,10.0,114024.0,42.988,99.9884,42.983,42.983,60.12113467728511,21000,28,5.0,quik,85976.0,
QUIK,QUIK_21K_28nt_4mer_r6,,,,,,200000.0,113828.0,174.0,85998.0,57.001,99.8474,56.914,56.914,72.50145665450806,21000,28,6.0,quik,114002.0,
