tool,barcode_count,barcode_length,optimal_threshold,precision,recall,f1_score
RandomBarcodes,21000,28,8.0,95.13060382988998,76.827,85.00466088919254
RandomBarcodes,21000,36,9.0,99.94972620115708,64.6135,78.48778591645106
RandomBarcodes,42000,28,8.0,91.8561,75.7395,83.0228846813401
RandomBarcodes,42000,36,9.0,99.9241,64.4775,78.37948241075513
RandomBarcodes,85000,28,8.0,87.303,74.301,80.27895600356428
RandomBarcodes,85000,36,9.0,99.8763,64.2035,78.16206537367793
QUIK,21000,28,8.0,95.7474,74.3325,83.69176616990013
QUIK,21000,36,9.0,99.6337,95.8775,97.71951756983744
QUIK,42000,28,8.0,92.9912,70.7105,80.334587210762
QUIK,42000,36,9.0,99.312,95.13,97.17602740148733
QUIK,85000,28,8.0,88.5574,66.9715,76.26649341826503
QUIK,85000,36,9.0,98.7573,94.1695,96.40885104972455
Columba,21000,28,78.0,94.1576,55.8425,70.10656363562424
Columba,21000,36,77.0,97.9128,56.8565,71.93906172865033
Columba,42000,28,78.0,89.1894,54.4595,67.62613746850829
Columba,42000,36,77.0,95.8337,55.895,70.60792930408024
Columba,85000,28,77.0,80.4724,51.9385,63.13099219777223
Columba,85000,36,77.0,92.1302,54.1265,68.19086264492499
